time,P,G(i),H_sun,T2m,WS10m,Int
20230101:0010,0.0,0.0,0.0,10.18,0.0,0.0
20230101:0110,0.0,0.0,0.0,9.62,0.62,0.0
20230101:0210,0.0,0.0,0.0,9.19,1.03,0.0
20230101:0310,0.0,0.0,0.0,9.1,1.1,0.0
20230101:0410,0.0,0.0,0.0,9.06,1.24,0.0
20230101:0510,0.0,0.0,0.0,9.07,1.24,0.0
20230101:0610,0.0,0.0,0.0,8.99,1.24,0.0
20230101:0710,0.0,0.0,0.0,8.42,1.24,0.0
20230101:0810,120.06,154.24,8.33,8.57,1.31,0.0
20230101:0910,70.75,98.26,14.86,9.0,1.52,0.0
20230101:1010,36.45,57.88,19.37,9.46,1.59,0.0
20230101:1110,238.91,289.01,21.43,9.9,1.59,0.0
20230101:1210,37.05,58.79,20.8,10.17,1.52,0.0
20230101:1310,28.33,47.94,17.56,10.36,1.38,0.0
20230101:1410,11.39,25.32,12.05,10.39,1.38,0.0
20230101:1510,12.39,26.73,4.73,10.31,1.38,0.0
20230101:1610,0.0,0.0,0.0,10.01,1.45,0.0
20230101:1710,0.0,0.0,0.0,9.8,1.45,0.0
20230101:1810,0.0,0.0,0.0,9.64,1.38,0.0
20230101:1910,0.0,0.0,0.0,9.14,0.97,0.0
20230101:2010,0.0,0.0,0.0,9.15,0.97,0.0
20230101:2110,0.0,0.0,0.0,9.21,0.9,0.0
20230101:2210,0.0,0.0,0.0,9.21,0.9,0.0
20230101:2310,0.0,0.0,0.0,9.02,0.97,0.0
20230102:0010,0.0,0.0,0.0,9.02,0.83,0.0
20230102:0110,0.0,0.0,0.0,9.18,0.76,0.0
20230102:0210,0.0,0.0,0.0,9.21,0.97,0.0
20230102:0310,0.0,0.0,0.0,9.07,1.1,0.0
20230102:0410,0.0,0.0,0.0,9.04,1.1,0.0
20230102:0510,0.0,0.0,0.0,9.16,0.97,0.0
20230102:0610,0.0,0.0,0.0,9.21,0.83,0.0
20230102:0710,0.0,0.0,0.0,8.81,0.48,0.0
20230102:0810,24.12,42.36,8.34,9.21,0.28,0.0
20230102:0910,42.28,65.12,14.9,9.55,0.34,0.0
20230102:1010,37.74,59.69,19.43,10.13,0.41,0.0
20230102:1110,82.54,113.16,21.51,10.47,0.41,0.0
20230102:1210,30.39,50.65,20.9,10.72,0.48,0.0
20230102:1310,30.37,50.65,17.67,10.81,0.34,0.0
20230102:1410,58.9,85.22,12.17,11.0,0.14,0.0
20230102:1510,11.59,25.63,4.86,10.79,0.34,0.0
20230102:1610,0.0,0.0,0.0,10.48,0.69,0.0
20230102:1710,0.0,0.0,0.0,10.11,0.69,0.0
20230102:1810,0.0,0.0,0.0,10.24,0.48,0.0
20230102:1910,0.0,0.0,0.0,9.79,0.9,0.0
20230102:2010,0.0,0.0,0.0,9.82,0.76,0.0
20230102:2110,0.0,0.0,0.0,9.91,0.55,0.0
20230102:2210,0.0,0.0,0.0,10.11,0.28,0.0
20230102:2310,0.0,0.0,0.0,10.12,0.14,0.0
20230103:0010,0.0,0.0,0.0,10.13,0.14,0.0
20230103:0110,0.0,0.0,0.0,9.56,0.69,0.0
20230103:0210,0.0,0.0,0.0,9.31,0.97,0.0
20230103:0310,0.0,0.0,0.0,9.4,1.17,0.0
20230103:0410,0.0,0.0,0.0,9.14,1.31,0.0
20230103:0510,0.0,0.0,0.0,9.23,1.31,0.0
20230103:0610,0.0,0.0,0.0,9.18,1.38,0.0
20230103:0710,0.0,0.0,0.0,9.26,0.69,0.0
20230103:0810,32.75,53.22,8.37,9.22,0.62,0.0
20230103:0910,34.88,56.08,14.94,9.79,0.62,0.0
20230103:1010,92.26,123.93,19.5,10.2,0.9,0.0
20230103:1110,63.26,90.44,21.6,10.27,0.62,0.0
20230103:1210,23.34,41.6,21.01,10.58,0.34,0.0
20230103:1310,39.84,62.41,17.79,10.54,0.07,0.0
20230103:1410,53.25,78.42,12.3,10.7,0.28,0.0
20230103:1510,7.13,18.99,5.0,10.85,0.41,0.0
20230103:1610,0.0,0.0,0.0,10.55,0.9,0.0
20230103:1710,0.0,0.0,0.0,9.48,1.03,0.0
20230103:1810,0.0,0.0,0.0,9.05,0.9,0.0
20230103:1910,0.0,0.0,0.0,9.15,0.97,0.0
20230103:2010,0.0,0.0,0.0,8.61,1.17,0.0
20230103:2110,0.0,0.0,0.0,8.62,0.97,0.0
20230103:2210,0.0,0.0,0.0,8.68,0.83,0.0
20230103:2310,0.0,0.0,0.0,8.95,0.55,0.0
20230104:0010,0.0,0.0,0.0,8.81,0.21,0.0
20230104:0110,0.0,0.0,0.0,8.48,0.14,0.0
20230104:0210,0.0,0.0,0.0,8.19,0.55,0.0
20230104:0310,0.0,0.0,0.0,7.84,1.1,0.0
20230104:0410,0.0,0.0,0.0,7.82,0.9,0.0
20230104:0510,0.0,0.0,0.0,7.62,0.97,0.0
20230104:0610,0.0,0.0,0.0,7.32,1.17,0.0
20230104:0710,0.0,0.0,0.0,6.77,1.24,0.0
20230104:0810,136.89,172.18,8.4,6.87,1.17,0.0
20230104:0910,233.44,280.11,14.99,7.64,1.1,0.0
20230104:1010,109.75,142.92,19.57,8.74,1.17,0.0
20230104:1110,82.08,112.22,21.69,10.12,1.38,0.0
20230104:1210,46.49,70.55,21.12,11.04,1.38,0.0
20230104:1310,47.12,71.45,17.92,11.51,1.38,0.0
20230104:1410,65.07,92.5,12.44,11.65,1.45,0.0
20230104:1510,66.51,94.31,5.14,11.33,1.45,0.0
20230104:1610,0.0,0.0,0.0,10.15,1.72,0.0
20230104:1710,0.0,0.0,0.0,8.75,1.72,0.0
20230104:1810,0.0,0.0,0.0,7.37,1.59,0.0
20230104:1910,0.0,0.0,0.0,6.83,1.38,0.0
20230104:2010,0.0,0.0,0.0,5.94,1.38,0.0
20230104:2110,0.0,0.0,0.0,4.78,1.52,0.0
20230104:2210,0.0,0.0,0.0,4.19,1.52,0.0
20230104:2310,0.0,0.0,0.0,3.78,1.59,0.0
20230105:0010,0.0,0.0,0.0,3.87,1.59,0.0
20230105:0110,0.0,0.0,0.0,3.73,1.79,0.0
20230105:0210,0.0,0.0,0.0,3.86,1.86,0.0
20230105:0310,0.0,0.0,0.0,3.99,1.86,0.0
20230105:0410,0.0,0.0,0.0,4.43,1.86,0.0
20230105:0510,0.0,0.0,0.0,4.69,1.93,0.0
20230105:0610,0.0,0.0,0.0,5.22,1.93,0.0
20230105:0710,0.0,0.0,0.0,5.55,1.86,0.0
20230105:0810,66.47,92.15,8.44,6.19,1.86,0.0
20230105:0910,229.94,275.84,15.05,8.59,2.28,0.0
20230105:1010,633.65,755.97,19.65,9.89,3.03,0.0
20230105:1110,703.01,849.5,21.8,10.88,3.1,0.0
20230105:1210,673.25,811.51,21.24,11.86,3.45,0.0
20230105:1310,608.98,732.88,18.06,12.86,3.38,0.0
20230105:1410,428.89,513.14,12.58,13.13,3.03,0.0
20230105:1510,170.43,214.92,5.28,12.49,2.41,0.0
20230105:1610,0.0,0.0,0.0,10.8,2.62,0.0
20230105:1710,0.0,0.0,0.0,9.53,2.62,0.0
20230105:1810,0.0,0.0,0.0,8.64,2.55,0.0
20230105:1910,0.0,0.0,0.0,8.73,2.69,0.0
20230105:2010,0.0,0.0,0.0,8.1,2.41,0.0
20230105:2110,0.0,0.0,0.0,7.18,2.0,0.0
20230105:2210,0.0,0.0,0.0,6.96,1.38,0.0
20230105:2310,0.0,0.0,0.0,7.72,0.28,0.0
20230106:0010,0.0,0.0,0.0,6.91,0.97,0.0
20230106:0110,0.0,0.0,0.0,4.55,1.52,0.0
20230106:0210,0.0,0.0,0.0,4.69,1.17,0.0
20230106:0310,0.0,0.0,0.0,4.48,1.17,0.0
20230106:0410,0.0,0.0,0.0,4.64,1.03,0.0
20230106:0510,0.0,0.0,0.0,4.58,1.1,0.0
20230106:0610,0.0,0.0,0.0,5.06,0.97,0.0
20230106:0710,0.0,0.0,0.0,4.54,0.55,0.0
20230106:0810,37.72,58.35,8.48,4.93,0.41,0.0
20230106:0910,58.82,83.7,15.12,6.15,0.55,0.0
